galaxy_name,Q,T,Vflat,e_Vflat,L36,MHI,Rdisk,RHI,Reff,SBeff,SBdisk,D,Inc,Ref,_Vflat,_L36,_MHI,_Rdisk,_T,M_star_Msun,M_gas_Msun,M_baryon_Msun,star_frac,gas_frac,r_over_Rdisk_eval,H_halo,S_star_gas,S_internal,S_struct,Q_eff,v_m5_bdvr_km_s,v_flat_obs_km_s,velocity_ratio_pred_over_obs,log10_velocity_error,abs_log10_velocity_error,log10_SBeff,log10_SBdisk,stellar_to_gas_ratio,log10_M_baryon_Msun,RHI_over_Rdisk,Reff_over_Rdisk,log10_v_flat_obs,log10_stellar_to_gas_ratio,sample_btfr_log10_v_pred,sample_btfr_log10_v_residual,sample_btfr_slope_logv_logm,sample_btfr_intercept_logv,is_late_type_T_ge_8,is_gas_dominated_ge_070,is_low_stellar_gas_le_035,is_hi_extended_ge_5,is_highish_mass_ge_1e9p5,is_low_v_for_mass,ugc07125_hard_analog,ugc07125_regime_score,robust_z_T,robust_z_gas_frac,robust_z_stellar_to_gas_ratio,robust_z_RHI_over_Rdisk,robust_z_log10_M_baryon_Msun,robust_z_sample_btfr_log10_v_residual,ugc07125_analog_distance,ugc07125_analog_rank_key,v_pred_km_s__m3_scalar_q_only,v_pred_km_s__m4a_halo_only,v_pred_km_s__m4b_halo_star_gas,v_pred_km_s__m4c_full_frozen,v_pred_km_s__mond_simple_btfr,v_pred_km_s__newtonian_outer,velocity_ratio_pred_over_obs__m3_scalar_q_only,velocity_ratio_pred_over_obs__m4a_halo_only,velocity_ratio_pred_over_obs__m4b_halo_star_gas,velocity_ratio_pred_over_obs__m4c_full_frozen,velocity_ratio_pred_over_obs__mond_simple_btfr,velocity_ratio_pred_over_obs__newtonian_outer,log10_velocity_error__m3_scalar_q_only,log10_velocity_error__m4a_halo_only,log10_velocity_error__m4b_halo_star_gas,log10_velocity_error__m4c_full_frozen,log10_velocity_error__mond_simple_btfr,log10_velocity_error__newtonian_outer,abs_log10_velocity_error__m3_scalar_q_only,abs_log10_velocity_error__m4a_halo_only,abs_log10_velocity_error__m4b_halo_star_gas,abs_log10_velocity_error__m4c_full_frozen,abs_log10_velocity_error__mond_simple_btfr,abs_log10_velocity_error__newtonian_outer
UGC07125,1.0,9.0,65.2,2.1,2.712,4.629,3.38,23.04,3.92,28.11,103.0,19.8,90.0,"Sw09,Sw02",65.2,2.712,4.629,3.38,9.0,1356000000.0,6156569999.999999,7512569999.999999,0.1804974862131068,0.8195025137868931,3.9881656804733727,1.2573763420608173,1.0,1.0,1.0,1.13195243693273,111.27246923349932,65.2,1.7066329637039772,0.2321401297980161,0.2321401297980161,1.4488608456074408,2.012837224705172,0.2202525107324371,9.875788531662657,6.816568047337278,1.1597633136094674,1.8142475957319202,-0.6570791322188518,2.054094455266917,-0.23984685953499696,0.2597665671999078,-0.5113052299953095,True,True,True,True,True,True,True,5.5,1.01175,1.151936786194145,-0.6745,0.380967937965063,-0.12673610371345176,-4.356369498836161,0.0,-5500.0,99.23276284512616,111.27246923349932,111.27246923349932,111.27246923349932,104.58601995535044,48.95943874317568,1.5219748902626713,1.7066329637039772,1.7066329637039772,1.7066329637039772,1.6040800606648842,0.7509116371652712,0.1824074874474846,0.2321401297980161,0.2321401297980161,0.2321401297980161,0.2052260404052944,-0.124411165192023,0.1824074874474846,0.2321401297980161,0.2321401297980161,0.2321401297980161,0.2052260404052944,0.124411165192023
F583-1,1.0,9.0,85.8,3.6,0.986,2.126,2.36,15.65,3.74,11.19,60.93,35.4,63.0,"KN08,dB96",85.8,0.986,2.126,2.36,9.0,493000000.0,2827580000.0,3320580000.0,0.1484680387161279,0.8515319612838721,4.108050847457627,1.2610047611710185,1.0,1.0,1.0,1.1352189194619575,90.8593865700958,85.8,1.0589672094416762,0.0248825125352315,0.0248825125352315,1.04883008652835,1.7848311781244692,0.1743540412649686,9.521213947800288,6.63135593220339,1.5847457627118646,1.9334872878487055,-0.7585679818771338,1.9619878328006535,-0.02850054495194798,0.2597665671999078,-0.5113052299953095,True,True,True,True,True,False,True,4.5,1.01175,1.2402307196385725,-0.698884047788921,0.30351375922369256,-0.47847648383051655,-0.5283071573356025,4.542106391637325,-4495.457893608363,80.91172071273222,90.8593865700958,90.8593865700958,90.8593865700958,85.27662230155448,38.38134396818512,0.943027047933942,1.0589672094416762,1.0589672094416762,1.0589672094416762,0.9939000268246444,0.4473350112842089,-0.0254758506348925,0.0248825125352315,0.0248825125352315,0.0248825125352315,-0.0026572976770827,-0.3493671098477038,0.0254758506348925,0.0248825125352315,0.0248825125352315,0.0248825125352315,0.0026572976770827,0.3493671098477038
F563-1,1.0,9.0,109.9,12.5,1.903,3.2,3.52,23.47,4.61,14.22,41.77,48.9,25.0,"KN08,dB96",109.9,1.903,3.2,3.52,9.0,951500000.0,4256000000.0,5207500000.0,0.1827172347575612,0.8172827652424388,3.9886363636363633,1.2573908730529677,1.0,1.0,1.0,1.1319655184513062,101.53141101041533,109.9,0.9238526934523688,-0.0343972706855351,0.0343972706855351,1.1528995963937474,1.6208644752651211,0.2235667293233082,9.716629278619784,6.667613636363636,1.309659090909091,2.0409976924234905,-0.6505928266639527,2.0127502024658686,0.02824748995762194,0.2597665671999078,-0.5113052299953095,True,True,True,True,True,False,True,4.5,1.01175,1.1458177193489896,-0.6727392862890557,0.31867643201509877,-0.2846231568536684,0.4995556460449632,5.747685113019625,-4494.2523148869805,90.54516613385977,101.53141101041533,101.53141101041533,101.53141101041533,95.42975808217643,39.94093214180925,0.8238868620005436,0.9238526934523688,0.9238526934523688,0.9238526934523688,0.8683326486094308,0.3634297738108212,-0.0841324225048039,-0.0343972706855351,-0.0343972706855351,-0.0343972706855351,-0.061313869546994,-0.4395794962022725,0.0841324225048039,0.0343972706855351,0.0343972706855351,0.0343972706855351,0.061313869546994,0.4395794962022725
UGC12632,1.0,9.0,71.7,2.8,1.301,1.744,2.42,12.6,3.94,13.09,66.81,9.77,46.0,"Sw09,Sw02",71.7,1.301,1.744,2.42,9.0,650500000.0,2319520000.0000005,2970020000.0000005,0.2190220941273122,0.7809779058726878,3.4173553719008263,1.2379646219141702,1.0,1.0,1.0,1.1144770453653656,87.54914529433222,71.7,1.2210480515248563,0.086732754937078,0.086732754937078,1.1169396465507557,1.8248414717537007,0.2804459543353796,9.472759373849332,5.206611570247934,1.6280991735537191,1.8555191556678001,-0.5521508206660293,1.9494009544602795,-0.09388179879247938,0.2597665671999078,-0.5113052299953095,True,True,True,True,False,False,True,4.0,1.01175,1.0457379775050368,-0.6425215958740371,-0.2923025802845791,-0.5265437481963546,-1.7125412716649422,3.222062980742751,-3996.777937019257,78.68605892004382,87.54914529433222,87.54914529433222,87.54914529433222,82.93089391518214,39.30194494605978,1.0974345735013085,1.2210480515248563,1.2210480515248563,1.2210480515248563,1.1566372930987745,0.5481442809771238,0.0403786380582733,0.086732754937078,0.086732754937078,0.086732754937078,0.0631971910160832,-0.2611051127111883,0.0403786380582733,0.086732754937078,0.086732754937078,0.086732754937078,0.0631971910160832,0.2611051127111883
DDO161,1.0,10.0,66.3,1.9,0.548,1.378,1.22,10.69,2.04,20.74,169.37,7.5,70.0,Co00,66.3,0.548,1.378,1.22,10.0,274000000.0,1832740000.0,2106740000.0,0.1300587637772103,0.8699412362227897,5.217213114754099,1.288510765160399,1.0,1.0,1.0,1.1599811860996694,81.96995774448564,66.3,1.236349287247144,0.0921411828030931,0.0921411828030931,1.316808752053022,2.228836487527934,0.1495029300391763,9.32361094114549,8.762295081967213,1.6721311475409837,1.8215135284047732,-0.8253502957183049,1.9106571780935564,-0.08914364968878319,0.2597665671999078,-0.5113052299953095,True,True,True,True,False,False,True,4.0,1.349,1.2909786226853004,-0.7120864637031816,1.194654933619752,-0.6745,-1.626720375341024,3.3870537108337535,-3996.6129462891663,72.21221816381001,81.96995774448564,81.96995774448564,81.96995774448564,76.10781231282921,37.7305709729956,1.0891737279609353,1.236349287247144,1.236349287247144,1.236349287247144,1.147930804115071,0.5690885516288929,0.0370971571453403,0.0921411828030931,0.0921411828030931,0.0921411828030931,0.0599157101031501,-0.2448201510186453,0.0370971571453403,0.0921411828030931,0.0921411828030931,0.0921411828030931,0.0599157101031501,0.2448201510186453
UGC00731,1.0,10.0,73.3,2.3,0.323,1.807,2.3,11.57,1.4,25.63,82.57,12.5,57.0,"Sw09,Sw02",73.3,0.323,1.807,2.3,10.0,161500000.0,2403310000.0,2564810000.0,0.0629676272316467,0.9370323727683532,2.819565217391305,1.2132604417332014,1.0,1.0,1.0,1.0922371192407492,83.55044525791908,73.3,1.139842363682389,0.0568447940412088,0.0568447940412088,1.408748606184244,1.916822284595912,0.0671989880622974,9.409055198294674,5.030434782608697,0.6086956521739131,1.865103974641128,-1.172637266860896,1.9328527394601456,-0.06774876481901759,0.2597665671999078,-0.5113052299953095,True,True,True,True,False,False,True,4.0,1.349,1.475925314176738,-0.7558113041535423,-0.36597825959975594,-0.5897387202684006,-1.2392002369734985,3.8184422643513782,-3996.1815577356488,75.852823237403,83.55044525791908,83.55044525791908,83.55044525791908,79.9448151731708,41.24389948244591,1.0348270564447886,1.139842363682389,1.139842363682389,1.139842363682389,1.0906523215985102,0.5626725713839824,0.0148677751962812,0.0568447940412088,0.0568447940412088,0.0568447940412088,0.0376863281540911,-0.249744254895621,0.0148677751962812,0.0568447940412088,0.0568447940412088,0.0568447940412088,0.0376863281540911,0.249744254895621
DDO064,1.0,10.0,46.1,3.9,0.157,0.211,0.69,3.49,1.2,17.41,151.65,6.8,60.0,"dB02,Sw02",46.1,0.157,0.211,0.69,10.0,78500000.0,280630000.0,359130000.0,0.2185837997382563,0.7814162002617436,3.3985507246376816,1.2372601544216606,1.0,1.0,1.0,1.113842848849803,51.61208276794634,46.1,1.119567955920745,0.0490504596709066,0.0490504596709066,1.2407987711173312,2.1808424146466825,0.279727755407476,8.555251685522226,5.057971014492754,1.7391304347826089,1.6637009253896482,-0.5532644395195259,1.7110631318840244,-0.04736220649437617,0.2597665671999078,-0.5113052299953095,True,True,True,True,False,False,True,4.0,1.349,1.0469462011442368,-0.6429031466573888,-0.354462834571162,-1.43671756702194,-0.8699436622878861,4.365672222146655,-3995.6343277778533,46.40030888487196,51.61208276794634,51.61208276794634,51.61208276794634,48.90344168429037,25.665015450436425,1.0065142925134916,1.119567955920745,1.119567955920745,1.119567955920745,1.0608121840410056,0.5567248470810504,0.0028199462546493,0.0490504596709066,0.0490504596709066,0.0490504596709066,0.025638499212459,-0.2543593953458663,0.0028199462546493,0.0490504596709066,0.0490504596709066,0.0490504596709066,0.025638499212459,0.2543593953458663
NGC3741,1.0,10.0,50.1,2.1,0.028,0.182,0.2,4.2,0.32,42.94,143.49,3.21,70.0,"Ge07,Bm05",50.1,0.028,0.182,0.2,10.0,14000000.0,242060000.0,256060000.0,0.0546746856205576,0.9453253143794424,11.3,1.3419048389023345,1.0,1.0,1.0,1.208049174869754,49.39173079144892,50.1,0.9858628900488806,-0.006183480835373,0.006183480835373,1.6328620401002298,2.1568216355916268,0.0578368999421631,8.408341741154654,21.0,1.5999999999999999,1.6998377258672457,-1.2377949932739225,1.6729008399481309,0.026936885919114806,0.2597665671999078,-0.5113052299953095,True,True,True,True,False,False,True,4.0,1.349,1.4987860405360391,-0.760785012575067,6.312362181983392,-1.582453223289069,0.4758170065786183,8.356662103314402,-3991.643337896686,42.63766229946231,49.39173079144892,49.39173079144892,49.39173079144892,44.93781360356508,22.07515500846917,0.8510511437018424,0.9858628900488806,0.9858628900488806,0.9858628900488806,0.8969623473765486,0.4406218564564704,-0.0700443403148411,-0.006183480835373,-0.006183480835373,-0.006183480835373,-0.0472257873570313,-0.3559339640553992,0.0700443403148411,0.006183480835373,0.006183480835373,0.006183480835373,0.0472257873570313,0.3559339640553992
UGC06446,1.0,7.0,82.2,4.3,0.988,1.379,1.49,10.33,2.06,37.05,86.46,12.0,51.0,"VS01,SV98",82.2,0.988,1.379,1.49,7.0,494000000.0,1834070000.0,2328070000.0,0.2121929323430996,0.7878070676569003,4.157718120805369,1.262466015327448,1.0,1.0,1.0,1.136534412801555,83.18917299910873,82.2,1.0120337347823447,0.0051949893670559,0.0051949893670559,1.568788212315347,1.9368152311976328,0.2693463172070859,9.366996034464401,6.932885906040268,1.3825503355704698,1.9148718175400503,-0.5696889582192886,1.9219271748526574,-0.007055357312607091,0.2597665671999078,-0.5113052299953095,False,True,True,True,False,False,False,3.0,0.33725,1.064563577169638,-0.6484183955999588,0.4296111069731062,-0.6314616946336703,-0.1398758976255341,5.055832032767422,-2994.9441679672327,74.03838874464469,83.18917299910873,83.18917299910873,83.18917299910873,78.03249834729075,40.203556426106985,0.900710325360641,1.0120337347823447,1.0120337347823447,1.0120337347823447,0.9493004665120528,0.4890943604149268,-0.0454148586602093,0.0051949893670559,0.0051949893670559,0.0051949893670559,-0.0225963057023996,-0.3106073448556715,0.0454148586602093,0.0051949893670559,0.0051949893670559,0.0051949893670559,0.0225963057023996,0.3106073448556715
UGCA442,1.0,9.0,56.4,2.1,0.14,0.263,1.18,4.37,1.71,7.6,116.1,4.35,64.0,Co00,56.4,0.14,0.263,1.18,9.0,70000000.0,349790000.00000006,419790000.00000006,0.1667500416875104,0.8332499583124896,2.576271186440678,1.2017090692771988,1.0,1.0,1.0,1.0818380018372364,52.88903485530941,56.4,0.9377488449522946,-0.0279134621078221,0.0279134621078221,0.8808135922807914,2.064832219738574,0.2001200720432259,8.623032088852037,3.703389830508475,1.4491525423728815,1.7512791039833422,-0.6987093494425869,1.7286702145804345,0.022608889402907728,0.2597665671999078,-0.5113052299953095,True,True,True,False,False,False,False,3.0,1.01175,1.189833660690293,-0.6851955711770126,-0.9209375118252466,-1.369478949487611,0.3974251003344829,5.879654295477313,-2994.1203457045226,48.24651768204963,52.88903485530941,52.88903485530941,52.88903485530941,50.84924692610069,24.37060796040097,0.8554347106746388,0.9377488449522946,0.9377488449522946,0.9377488449522946,0.90158239230675,0.4321029780212939,-0.0678131315065924,-0.0279134621078221,-0.0279134621078221,-0.0279134621078221,-0.0449945785487826,-0.3644127405534815,0.0678131315065924,0.0279134621078221,0.0279134621078221,0.0279134621078221,0.0449945785487826,0.3644127405534815
